000,000
001,001
002,002
003,003
004,004
005,005
006,006
007,007
008,008
009,009
010,010
011,011
012,012
013,013
014,014
015,015
016,004
017,004
018,004
019,004
020,012
021,012
022,002
023,002
024,004
025,012
026,012
027,012
028,002
029,002
030,006
031,004
032,012
033,012
034,002
035,002
036,002
037,006
038,012
039,012
040,010
041,010
042,002
043,006
044,012
045,012
046,010
047,010
048,010
049,010
050,014
051,014
052,001
053,005
054,005
055,004
056,004
057,004
058,002
059,002
060,005
061,004
062,012
063,012
064,002
065,002
066,006
067,004
068,012
069,012
070,002
071,002
072,002
073,006
074,012
075,012
076,002
077,002
078,002
079,014
080,014
081,014
082,010
083,010
084,010
085,010
086,014
087,014
088,001
089,005
090,005
091,005
092,005
093,005
094,003
095,003
096,005
097,005
098,005
099,005
100,003
101,003
102,003
103,005
104,005
105,005
106,002
107,002
108,002
109,006
110,006
111,012
112,002
113,002
114,002
115,006
116,006
117,006
118,010
119,010
120,010
121,010
122,014
123,014
124,001
125,001
126,005
127,005
128,005
129,005
130,001
131,001
132,005
133,005
134,005
135,005
136,003
137,003
138,003
139,005
140,005
141,005
142,003
143,003
144,003
145,007
146,006
147,012
148,002
149,002
150,002
151,010
152,014
153,014
154,010
155,010
156,010
157,010
158,010
159,014
160,009
161,009
162,013
163,013
164,013
165,013
166,001
167,001
168,001
169,013
170,013
171,013
172,003
173,009
174,009
175,013
176,013
177,013
178,003
179,003
180,003
181,013
182,013
183,013
184,011
185,011
186,011
187,011
188,006
189,015
190,011
191,011
192,011
193,010
194,010
195,015
196,009
197,009
198,009
199,013
200,013
201,013
202,009
203,009
204,013
205,013
206,013
207,013
208,009
209,009
210,003
211,013
212,013
213,013
214,003
215,003
216,003
217,013
218,013
219,013
220,011
221,011
222,011
223,011
224,013
225,013
226,011
227,011
228,011
229,011
230,011
231,015
232,008
233,008
234,008
235,008
236,008
237,008
238,008
239,008
240,008
241,008
242,008
243,008
244,007
245,007
246,007
247,007
248,007
249,007
250,015
251,015
252,015
253,015
254,015
255,015
